source,target,weight
HGH,BKK,28.5
HGH,DLU,31.59259259259259
HGH,DOY,24.27508090614887
HGH,FUG,45.72
HGH,HDG,37.4647201946472
HGH,HFE,11.0
HGH,AKU,45.0
HGH,BSD,26.634453781512605
HGH,CGO,32.6408719346049
HGH,CGQ,31.991071428571427
HGH,CKG,32.77903527084936
HGH,CTU,37.32710510141364
HGH,CZX,13.0
HGH,DDG,10.282352941176471
HGH,DLC,33.247678018575854
HGH,DNH,151.0
HGH,FOC,20.678466076696164
HGH,GYS,21.240579710144928
HGH,HET,42.429054054054056
HGH,HUZ,22.43776223776224
HGH,JHG,57.73906705539358
HGH,JJN,38.23882167280379
HGH,KMG,40.25657981748446
HGH,LYG,16.870307167235495
HGH,LZO,35.91258741258741
HGH,NNY,46.19602272727273
HGH,PVG,239.82558139534885
HGH,SJW,38.81839790824816
HGH,TAO,31.89523052464229
HGH,TGO,28.29904306220096
HGH,URC,50.67713004484305
HGH,WUH,23.577571669477237
HGH,WUX,53.0
HGH,XNN,39.785714285714285
HGH,YIW,26.666666666666668
HGH,YNT,36.18514219384794
HGH,ZUH,50.39235825801151
HGH,ZYI,26.902912621359224
HGH,HIA,12.270216962524657
HGH,HKG,33.0
HGH,HRB,28.690041710114706
HGH,JDZ,19.359154929577464
HGH,JNZ,41.39613526570049
HGH,JZH,52.42056074766355
HGH,KJH,40.07111111111111
HGH,KOW,42.96662030598053
HGH,KWE,39.3983267158253
HGH,KWL,41.47384806973848
HGH,LCX,28.7986798679868
HGH,LHW,32.23809523809524
HGH,LYA,31.26588845654993
HGH,LZH,13.428571428571429
HGH,MXZ,32.19444444444444
HGH,NAO,78.59797297297297
HGH,SHE,33.93867216804201
HGH,SIN,67.0
HGH,TEN,42.736147757255935
HGH,WEH,25.17397454031117
HGH,WNZ,160.15384615384616
HGH,XIY,36.098310116464944
HGH,XMN,37.08603981141959
HGH,YTY,116.0
HGH,ZHA,44.08291457286432
KUL,BKI,6.0
KUL,HKG,0.0
KUL,KCH,28.5
KUL,BKK,6.0
KUL,DPS,12.0
KUL,KTM,28.0
KUL,LGK,7.0
KUL,NRT,1.25
GYS,CKG,483.4
GYS,CTU,248.0
GYS,PVG,38.74633431085044
GYS,XIY,22.0
LZO,CGO,34.57407407407408
LZO,CKG,51.0
LZO,CTU,20.0
LZO,KMG,25.21212121212121
LZO,DCY,40.559633027522935
LZO,KWE,10.001246882793016
LZO,LHW,17.7248322147651
LZO,PVG,40.90909090909091
LZO,XIY,16.029411764705884
LZO,WUH,7.848214285714286
YNT,CGO,24.49535192563081
YNT,CTU,27.281553398058254
YNT,DLC,20.74102228047182
YNT,JNG,23.11290322580645
YNT,KWE,38.5
YNT,LHW,32.611111111111114
YNT,PVG,39.03675282714055
YNT,TAO,162.0857142857143
YNT,XIY,22.12410714285714
YNT,XNN,18.0
YNT,YKH,14.333333333333334
YNT,YNJ,27.013513513513512
YNT,CGQ,24.33203775680178
YNT,CKG,132.0
YNT,DQA,52.25
YNT,FOC,18.7
YNT,HET,23.947154471544717
YNT,HRB,20.469883040935677
YNT,KMG,141.5
YNT,SHE,19.286856571714143
YNT,SJW,29.5946348733234
YNT,TPE,45.4
YNT,WEH,35.333333333333336
YNT,WUH,26.046898638426622
YNT,XMN,28.692160611854685
AXF,HET,29.842968075927523
AXF,XIY,26.32952691680261
IKT,OVB,144.0
UCB,CGO,17.71311475409836
UCB,DLC,23.22
UCB,HRB,27.93913043478261
UCB,XIY,129.0
KMQ,PVG,0.0
WDH,JNB,0.0
XIY,CKG,23.85575319622012
XIY,DCY,56.0919540229885
XIY,DIG,13.441176470588236
XIY,HET,13.8274622573688
XIY,HJJ,26.460176991150444
XIY,HNY,11.310679611650484
XIY,HRB,25.91755442334414
XIY,HUZ,23.549407114624508
XIY,JGS,24.873103448275863
XIY,JIC,0.0
XIY,JZH,29.01514195583596
XIY,KMG,27.41022042433749
XIY,KWE,21.94155339805825
