source,target,weight
AKU,ACX,124
AKU,AQG,107
AKU,AVA,87
AKU,AXF,68
AKU,CAN,98
AKU,CGD,118
AKU,CIH,105
AKU,CZX,113.5
AKU,DAT,113.5
AKU,DAX,109
AKU,DLU,98.5
AKU,DQA,98
AKU,DSN,105.5
AKU,ENH,112
AKU,ENY,64.5
AKU,FOC,107.5
AKU,GXH,32
AKU,HEK,54
AKU,HIA,114.5
AKU,HPG,23
AKU,HSN,104
AKU,HTN,134
AKU,HUZ,99
AKU,HYN,116
AKU,JGS,93
AKU,JJN,115
AKU,JNZ,61
AKU,JZH,95.5
AKU,KOW,122.5
AKU,KWE,110.5
AKU,LHW,107
AKU,LJG,102
AKU,LNJ,90
AKU,LUM,118
AKU,LXA,117
AKU,LYI,112
AKU,LZY,32.5
AKU,MDG,127
AKU,MXZ,90.5
AKU,NAO,110
AKU,NDG,101
AKU,NGB,114
AKU,NZH,75.5
AKU,PZI,60.5
AKU,RIZ,121
AKU,SHE,129
AKU,SJW,106
AKU,SWA,119.5
AKU,TAO,120
AKU,TCZ,115
AKU,THQ,63.5
AKU,TNA,108.5
AKU,URC,123.5
AKU,UYN,114
AKU,XFN,113.5
AKU,XIC,104
AKU,XNN,111
AKU,YBP,122.5
AKU,YCU,101.5
AKU,YIC,116
AKU,YIE,61.5
AKU,YIH,109.5
AKU,YIW,106.5
AKU,YNJ,99
AKU,YNT,129
AKU,YNZ,118.5
AKU,YUS,65.5
AKU,ZAT,109
AKU,ZHY,53
AKU,BAV,112
AKU,BFJ,117.5
AKU,CGQ,135
AKU,CIF,124.5
AKU,CSX,105.5
AKU,DLC,114.5
AKU,HLH,125.5
AKU,INC,112
AKU,JIQ,67.5
AKU,KCA,101
AKU,KMG,94.5
AKU,KRL,116
AKU,MIG,116
AKU,NAY,109.5
AKU,TSN,114
AKU,TVS,75
AKU,WEF,106.5
AKU,WUH,100
AKU,WUX,118
AKU,XMN,109
AKU,XUZ,116
AKU,YIN,110.5
AKU,YTY,110.5
AKU,ZHA,111.5
AKU,AAT,102
AKU,AEB,49.5
AKU,BPL,71.5
AKU,DIG,108
AKU,DYG,110.5
AKU,FUG,111.5
AKU,HCJ,43
AKU,HDG,103
AKU,HNY,94
AKU,HZH,26.5
AKU,JGD,44
AKU,JIC,51
AKU,KHG,139
AKU,LPF,90.5
AKU,LYG,115.5
AKU,NBS,87.5
AKU,SYX,96
AKU,TCG,75
AKU,TEN,113
AKU,TGO,118.5
AKU,TXN,128.5
AKU,WNH,59
AKU,WNZ,119.5
AKU,WUA,105.5
AKU,XIL,120.5
AKU,ZYI,119.5
AKU,AOG,65
AKU,BHY,130
AKU,BSD,111.5
AKU,DDG,90.5
AKU,GYU,89
AKU,HFE,110
AKU,HRB,119.5
AKU,IQN,110
AKU,JDZ,117.5
AKU,JGN,93
AKU,JNG,131
AKU,KHN,114.5
AKU,KRY,111
AKU,LDS,64
AKU,NLT,56.5
AKU,NNY,104.5
AKU,SHP,11.5
AKU,TYN,110.5
AKU,DOY,96.5
AKU,GYS,109
