source,target,weight
AAT,URC,21.23044776119403
ACX,CSX,13.351851851851851
ACX,KWE,15.881115537848606
ACX,NAY,47.452188006482984
ACX,NGB,38.61584158415842
ACX,NKG,14.0
ACX,PEK,0.0
ACX,SHA,53.18181818181818
ACX,SZX,18.357723577235774
AEB,PVG,225.0
AKU,BPL,11.0
AKU,CKG,23.107526881720432
AKU,CTU,21.99861303744799
AKU,KHG,12.0
AKU,SHA,141.0
AKU,TAO,115.0
AKU,URC,30.12362838332114
AOG,CAN,40.26614987080104
AOG,CTU,21.984615384615385
AOG,FOC,3.5
AOG,SWA,333.0
AQG,NGB,32.8375
AQG,PEK,38.63636363636363
AQG,SZX,4.0
AQG,TVS,0.0
AVA,CKG,33.39170506912443
AVA,HAK,20.316831683168317
AVA,JHG,22.256410256410255
AVA,KWL,8.371428571428572
AVA,LJG,22.8
AVA,NAY,45.6411856474259
AVA,SHA,49.5940170940171
AVA,XIY,16.473684210526315
AXF,EJN,26.45372050816697
AXF,HET,29.842968075927523
AXF,RHT,29.06153846153846
AXF,TSN,42.0
AXF,XIY,26.32952691680261
BAR,CAN,25.5625
BAR,KWE,8.333333333333334
BAR,KWL,12.0
BAR,PEK,20.842105263157894
BAR,SZX,29.63157894736842
BAV,CAN,38.34061135371179
BAV,CIF,22.68280467445743
BAV,DSN,34.0
BAV,KWE,18.8
BAV,LHW,10.706827309236948
BAV,LYA,21.15357142857143
BAV,NKG,74.30327868852459
BAV,PEK,32.64399874647446
BAV,TNA,201.0
BAV,TSN,9.642023346303501
BAV,TYN,7.577639751552795
BAV,URC,20.34930139720559
BFJ,CSX,17.180722891566266
BFJ,CTU,20.900552486187845
BFJ,HAK,21.479806138933764
BFJ,NAY,41.15339233038348
BFJ,NNG,26.665584415584416
BFJ,SZX,37.30357142857143
BFJ,WUH,21.023489932885905
BFJ,XIY,29.55889145496536
BFJ,XMN,43.69965870307167
BFJ,ZUH,5.0
BHY,CGQ,0.0
BHY,CKG,21.590958019375673
BHY,CSX,26.562376237623763
BHY,HJJ,37.127450980392155
BHY,KWE,28.925764192139738
BHY,KWL,27.547033285094066
BHY,LJG,20.14857142857143
BHY,PEK,51.24193548387097
BHY,SZX,21.487554904831626
BHY,TSN,191.0
BPE,CGO,13.52127659574468
BPE,CSX,17.17241379310345
BPE,CTU,39.9063670411985
BPE,HAK,79.0
BPE,HET,30.058823529411764
BPE,HRB,33.32209737827716
BPE,PVG,36.44155844155844
BPE,SJW,36.47126436781609
BPE,TAO,32.04710144927536
BPE,WNZ,14.5
BPX,CTU,31.617367706919946
BPX,LXA,47.68840579710145
BSD,CTU,8.666666666666666
CAN,ACX,31.700906344410875
CAN,AEB,32.06514657980456
CAN,AQG,26.44607843137255
CAN,AVA,40.11363636363637
CAN,BFJ,37.33505154639175
CAN,BHY,19.385083713850836
CAN,CGO,38.37503574492422
CAN,CGQ,28.016198430777017
CAN,CKG,37.487873793265834
CAN,CSX,29.96453638714444
CAN,CZX,43.8578811369509
CAN,DAX,37.76147959183673
CAN,DLC,34.28260869565217
CAN,FOC,29.83765966213432
CAN,FUO,110.0
CAN,HAK,28.023245417970497
CAN,HET,33.127896200185354
CAN,HFE,38.82087675170679
CAN,HIA,51.76438356164383
CAN,INC,15.27538726333907
CAN,IQN,16.486910994764397
CAN,JDZ,35.78883495145631
CAN,JNG,32.90589887640449
CAN,JNZ,21.0
