source,target,weight
AAT,TLQ,11
AAT,URC,248
ACX,CAN,21
ACX,CSX,7
ACX,CTU,61
ACX,FOC,21
ACX,HAK,7
ACX,KMG,114
ACX,KWE,383
ACX,LJG,77
ACX,NAY,41
ACX,NGB,38
ACX,SHA,37
ACX,SZX,4
ACX,WUH,1
ACX,XIY,6
AEB,CAN,19
AEB,CKG,23
AEB,KWL,12
AEB,SZX,2
AHJ,CKG,5
AHJ,CTU,5
AKU,CKG,28
AKU,CTU,2
AKU,HTN,26
AKU,URC,208
AKU,XIY,13
AOG,CAN,34
AOG,CTU,2
AOG,PEK,29
AOG,PVG,28
AOG,SWA,1
AQG,CAN,9
AQG,HAK,46
AQG,KMG,22
AQG,NGB,40
AQG,PEK,49
AQG,SHA,35
AQG,XIY,106
AQG,XMN,8
AVA,CAN,4
AVA,CKG,46
AVA,HAK,7
AVA,HGH,44
AVA,JHG,52
AVA,KMG,25
AVA,KWL,10
AVA,LJG,58
AVA,NAY,10
AVA,SHA,5
AVA,SYX,27
AVA,XIY,3
AXF,EJN,16
AXF,HET,124
AXF,RHT,52
AXF,XIY,22
BAR,KMG,1
BAR,PEK,3
BAR,SZX,1
BAR,ZUH,3
BAV,CAN,25
BAV,CGO,11
BAV,CGQ,3
BAV,CIF,13
BAV,CKG,6
BAV,CTU,2
BAV,DLC,9
BAV,HGH,28
BAV,HRB,4
BAV,KMG,5
BAV,LHW,1
BAV,LYA,55
BAV,NAY,33
BAV,NKG,66
BAV,PEK,36
BAV,PVG,46
BAV,SHA,19
BAV,SHE,18
BAV,SJW,113
BAV,TSN,9
BAV,TYN,3
BAV,URC,7
BAV,WUH,7
BAV,XIY,20
BFJ,CAN,21
BFJ,CKG,112
BFJ,CSX,6
BFJ,CTU,58
BFJ,HAK,102
BFJ,HGH,37
BFJ,JHG,7
BFJ,KMG,101
BFJ,KWE,268
BFJ,LHW,3
BFJ,LJG,49
BFJ,NAY,44
BFJ,NKG,4
BFJ,NNG,33
BFJ,SHA,11
BFJ,SZX,13
BFJ,WUH,11
BFJ,XIY,15
BFJ,XMN,15
BHY,CAN,11
BHY,CKG,10
BHY,CSX,6
BHY,CTU,11
BHY,HAK,30
BHY,HFE,32
BHY,HGH,2
BHY,HJJ,7
BHY,KHN,3
BHY,KMG,5
BHY,KWE,12
BHY,KWL,9
BHY,LJG,8
BHY,LZH,7
BHY,NKG,8
BHY,PEK,7
BHY,PVG,24
BHY,SHA,6
BHY,SZX,35
BHY,WUH,8
BHY,ZYI,18
BPE,CGO,1
BPE,CTU,38
BPE,HET,4
BPE,HRB,17
BPE,NKG,6
BPE,PVG,7
BPE,SJW,45
BPE,TAO,11
BPE,XUZ,17
BPE,ZQZ,11
BPL,URC,108
BPX,CKG,18
BPX,CTU,10
BPX,LXA,13
BSD,HGH,21
BSD,KMG,136
BSD,PEK,3
CAN,ACX,7
CAN,AEB,14
CAN,AOG,2
CAN,AQG,6
CAN,AVA,1
CAN,BAR,2
CAN,BAV,18
CAN,BFJ,16
CAN,BHY,11
CAN,CGD,26
CAN,CGO,116
CAN,CGQ,76
CAN,CIH,6
CAN,CKG,267
CAN,CSX,105
CAN,CTU,212
CAN,CZX,133
CAN,DAX,3
CAN,DIG,11
CAN,DLC,34
CAN,DLU,2
CAN,DYG,33
CAN,ENY,1
CAN,FOC,88
CAN,FUG,11
CAN,GYS,31
CAN,HAK,556
CAN,HDG,15
CAN,HET,46
CAN,HFE,99
CAN,HGH,362
CAN,HIA,14
CAN,HJJ,7
CAN,HLD,7
CAN,HRB,53
CAN,HYN,57
CAN,INC,4
CAN,IQN,1
CAN,JDZ,37
CAN,JGS,65
CAN,JJN,36
CAN,JNG,39
CAN,JUH,10
CAN,JZH,1
CAN,KHN,101
CAN,KJH,4
CAN,KMG,155
CAN,KOW,25
CAN,KWE,76
CAN,KWL,3
CAN,LFQ,10
CAN,LHW,34
CAN,LJG,60
CAN,LLB,18
CAN,LPF,3
CAN,LUM,1
CAN,LXA,2
CAN,LYA,10
CAN,LYG,10
CAN,LYI,69
CAN,LZH,12
CAN,LZO,17
CAN,MIG,28
CAN,MXZ,74
CAN,NAO,33
CAN,NAY,28
CAN,NGB,117
CAN,NKG,288
CAN,NNG,32
CAN,NNY,31
CAN,NTG,99
CAN,PEK,338
CAN,PVG,105
CAN,RIZ,4
CAN,SHA,591
CAN,SHE,86
CAN,SJW,18
CAN,SWA,83
CAN,SYX,203
CAN,TAO,105
CAN,TEN,26
CAN,TNA,115
CAN,TSN,127
CAN,TVS,8
CAN,TXN,25
