source,target,weight
ABE,ATL,83
ABE,DTW,90
ABE,ORD,46
ABI,DFW,13
ABQ,ATL,34
ABQ,AUS,5
ABQ,BWI,24
ABQ,DAL,195
ABQ,DEN,125
ABQ,DFW,179
ABQ,HOU,82
ABQ,IAH,136
ABQ,JFK,49
ABQ,LAS,149
ABQ,LAX,90
ABQ,MCI,22
ABQ,MCO,3
ABQ,MDW,38
ABQ,MSP,8
ABQ,OAK,82
ABQ,ORD,26
ABQ,PDX,6
ABQ,PHX,213
ABQ,SAN,55
ABQ,SEA,47
ABQ,SFO,45
ABQ,SLC,84
ABR,MSP,54
ACK,BOS,29
ACK,DCA,3
ACK,JFK,30
ACT,DFW,53
ACV,SFO,221
ADK,ANC,7
ADQ,ANC,82
AEX,ATL,51
AEX,DFW,80
AEX,IAH,63
AGS,ATL,242
AKN,ANC,6
ALB,ATL,32
ALB,BWI,137
ALB,CLT,93
ALB,DEN,22
ALB,DTW,114
ALB,EWR,7
ALB,FLL,48
ALB,LAS,10
ALB,MCO,78
ALB,MDW,49
ALB,MSP,16
ALB,ORD,92
ALB,RSW,3
ALB,TPA,32
ALO,ORD,60
AMA,DAL,149
AMA,DEN,9
AMA,DFW,24
AMA,IAH,74
AMA,LAS,35
ANC,ADK,3
ANC,ADQ,35
ANC,AKN,7
ANC,ATL,11
ANC,BET,77
ANC,BRW,17
ANC,CDV,45
ANC,DEN,24
ANC,DFW,18
ANC,DLG,2
ANC,FAI,97
ANC,HNL,29
ANC,IAH,7
ANC,JNU,102
ANC,LAS,2
ANC,LAX,50
ANC,MSP,17
ANC,OGG,1
ANC,OME,36
ANC,ORD,46
ANC,OTZ,57
ANC,PDX,93
ANC,PHX,12
ANC,SCC,60
ANC,SEA,600
ANC,SFO,14
ANC,SLC,2
APN,DTW,22
APN,PLN,20
ASE,ATL,16
ASE,DEN,319
ASE,DFW,73
ASE,IAH,49
ASE,LAX,147
ASE,MSP,4
ASE,ORD,113
ASE,PHX,1
ASE,SFO,34
ASE,SLC,39
ATL,ABE,54
ATL,ABQ,24
ATL,AEX,45
ATL,AGS,216
ATL,ALB,55
ATL,ANC,6
ATL,ASE,11
ATL,ATW,42
ATL,AUS,227
ATL,AVL,208
ATL,AVP,16
ATL,BDL,102
ATL,BHM,182
ATL,BMI,78
ATL,BNA,267
ATL,BOS,333
ATL,BQK,90
ATL,BTR,242
ATL,BTV,17
ATL,BUF,98
ATL,BWI,476
ATL,BZN,9
ATL,CAE,173
ATL,CAK,143
ATL,CHA,267
ATL,CHO,88
ATL,CHS,200
ATL,CID,54
ATL,CLE,242
ATL,CLT,474
ATL,CMH,274
ATL,COS,24
ATL,CRW,120
ATL,CSG,88
ATL,CVG,155
ATL,DAB,108
ATL,DAL,260
ATL,DAY,94
ATL,DCA,383
ATL,DEN,439
ATL,DFW,527
ATL,DHN,147
ATL,DSM,68
ATL,DTW,398
ATL,EGE,7
ATL,ELP,37
ATL,EVV,89
ATL,EWR,332
ATL,EYW,61
ATL,FAR,1
ATL,FAY,114
ATL,FLL,767
ATL,FNT,61
ATL,FSD,17
ATL,FSM,62
ATL,FWA,224
ATL,GNV,125
ATL,GPT,62
ATL,GRB,32
ATL,GRR,77
ATL,GSO,152
ATL,GSP,346
ATL,GTR,132
ATL,HDN,14
ATL,HNL,12
ATL,HOU,267
ATL,HPN,136
ATL,HSV,182
ATL,IAD,164
ATL,IAH,237
ATL,ICT,57
ATL,ILM,129
ATL,IND,288
ATL,JAC,2
ATL,JAN,167
ATL,JAX,399
ATL,JFK,101
ATL,LAS,355
ATL,LAX,469
ATL,LEX,173
ATL,LFT,122
ATL,LGA,493
ATL,LIT,139
ATL,LNK,33
ATL,MCI,287
ATL,MCO,840
ATL,MDT,52
ATL,MDW,279
ATL,MEM,217
ATL,MGM,198
ATL,MHT,26
ATL,MIA,422
ATL,MKE,212
ATL,MLB,100
ATL,MLI,89
ATL,MLU,102
ATL,MOB,201
ATL,MSN,79
ATL,MSO,1
ATL,MSP,339
ATL,MSY,420
ATL,MTJ,1
ATL,MYR,82
ATL,OAJ,74
ATL,OAK,26
ATL,OKC,97
ATL,OMA,105
ATL,ORD,623
ATL,ORF,166
ATL,PBI,301
ATL,PDX,58
ATL,PHF,74
ATL,PHL,477
ATL,PHX,260
ATL,PIA,87
ATL,PIT,222
ATL,PNS,143
ATL,PVD,39
ATL,PWM,24
ATL,RAP,1
ATL,RDU,379
ATL,RIC,296
ATL,RNO,3
ATL,ROA,115
ATL,ROC,51
ATL,RST,33
ATL,RSW,256
ATL,SAN,114
ATL,SAT,169
ATL,SAV,199
ATL,SBN,208
ATL,SDF,187
ATL,SEA,194
ATL,SFO,274
ATL,SGF,91
ATL,SHV,187
ATL,SJC,47
ATL,SJU,71
ATL,SLC,199
ATL,SMF,47
ATL,SNA,67
ATL,SRQ,124
ATL,STL,314
ATL,SYR,45
ATL,TLH,139
ATL,TPA,588
ATL,TRI,195
ATL,TTN,16
ATL,TUL,107
ATL,TUS,38
ATL,TYS,150
ATL,VLD,69
ATL,VPS,141
ATL,XNA,118
ATW,ATL,46
ATW,DTW,76
ATW,MSP,78
ATW,ORD,90
AUS,ABQ,5
AUS,ATL,253
AUS,BNA,94
AUS,BOS,33
AUS,BWI,52
AUS,CLT,170
AUS,DAL,374
AUS,DCA,37
AUS,DEN,249
AUS,DFW,500
AUS,DTW,42
AUS,ELP,96
AUS,EWR,71
AUS,FLL,92
AUS,HOU,255
AUS,HRL,43
AUS,IAD,24
AUS,IAH,204
AUS,JFK,79
AUS,LAS,130
AUS,LAX,248
AUS,LBB,46
AUS,LGB,36
AUS,MCI,22
AUS,MCO,121
AUS,MDW,87
AUS,MIA,2
AUS,MSP,32
AUS,MSY,68
AUS,OAK,18
AUS,ORD,203
AUS,PDX,24
AUS,PHL,60
AUS,PHX,161
AUS,RDU,6
AUS,SAN,103
AUS,SEA,118
AUS,SFO,182
AUS,SJC,85
AUS,SLC,32
AUS,SNA,1
AUS,STL,59
AUS,TPA,30
AVL,ATL,257
AVL,EWR,27
AVL,LGA,1
AVL,ORD,157
AVP,ATL,14
AVP,DTW,75
AVP,EWR,18
AVP,ORD,69
AZO,DTW,137
AZO,MSP,25
AZO,ORD,176
BDL,ATL,75
BDL,BWI,155
BDL,CLE,12
BDL,CLT,174
BDL,DCA,47
BDL,DEN,54
BDL,DFW,86
BDL,DTW,93
BDL,EWR,25
BDL,FLL,122
BDL,IAD,44
BDL,LAS,11
BDL,LAX,25
BDL,MCO,153
BDL,MDW,61
BDL,MIA,32
BDL,MSP,38
BDL,MYR,10
BDL,ORD,154
BDL,PBI,25
BDL,PHL,50
BDL,RDU,9
BDL,RSW,28
BDL,SFO,10
BDL,SJU,68
BDL,TPA,71
BET,ANC,119
BFL,DEN,75
BFL,PHX,70
BFL,SFO,75
BGM,DTW,109
BGR,EWR,63
BGR,JFK,1
BGR,LGA,5
BGR,ORD,37
BHM,ATL,242
BHM,BWI,29
BHM,DAL,53
BHM,DEN,24
BHM,DFW,47
BHM,DTW,19
BHM,HOU,100
BHM,IAH,178
BHM,LAS,14
BHM,LGA,57
BHM,MCO,93
BHM,MDW,70
BHM,ORD,127
BHM,TPA,55
BIL,DEN,163
BIL,MSP,38
BIL,ORD,7
BIL,SLC,87
BIS,DEN,79
BIS,LAS,7
BIS,MSP,99
BIS,ORD,89
BJI,MSP,37
BLI,KOA,4
BLI,LAS,11
BLI,OGG,4
BLI,PDX,4
BLI,SEA,81
BMI,ATL,124
BMI,MSP,21
BMI,ORD,162
BNA,ATL,243
BNA,AUS,89
BNA,BOS,162
BNA,BWI,217
BNA,CHS,24
BNA,CLE,110
BNA,CLT,317
BNA,CMH,82
BNA,CVG,19
BNA,DAL,140
BNA,DCA,108
BNA,DEN,191
BNA,DFW,365
BNA,DTW,202
BNA,EWR,87
BNA,FLL,173
BNA,HOU,123
BNA,IAH,165
BNA,JAX,82
BNA,LAS,89
BNA,LAX,150
BNA,LGA,104
BNA,MCI,128
BNA,MCO,189
BNA,MDW,193
BNA,MIA,10
BNA,MKE,7
BNA,MSP,78
BNA,MSY,150
BNA,OAK,16
